Kod 	Klartext
1390 	Encephalit
1400 	Ö-läpp läppröda
1401 	U-läpp läppröda
1403 	Ö-läpp insida
1404 	U-läpp insida
1405 	Läpp uns insida
1406 	Mungipa uns
1408 	Båda läpparna läppröda
1409 	Icke angiven läpp (läpprö
1410 	Tungbas bakre del
1411 	Tungans översida
1412 	Tungans kant-spets
1413 	Tungans undersida
1414 	Tungans främre 2/3 uns
1418 	Tunga flera lok
1419 	Tunga icke spec del
1420 	Öronspottkörtel
1421 	Submandibulariskörtel
1422 	Sublingualiskörtel
1428 	Flera spottkörtlar
1429 	Icke spec spottkörtel
1430 	Ö-käkens tandkött
1431 	U-käkens tandkött
1438 	Tandköttet flera delar
1439 	Icke spec lok tandkött
1449 	Munbotten
1450 	Kindens slemhinna
1452 	Hårda gommen slemhinna
1453 	Mjuka gommen slemhinna
1454 	Gomseglet uvula
1455 	Gomslemhinna uns
1456 	Retromolara området
1458 	Flera lok gom
1459 	Annan eller spec lok
1460 	Tonsill
1468 	Mellansvalg flera delar
1469 	Mellansvalg annan/icke sp
1479 	Näs-svalgrummet
1480 	Postcricoidala regionen
1481 	Fossa piriformis
1488 	Flera lok hypopharynx
1489 	Annan/icke spec lok hypop
1499 	Svalg uns
1503 	Matstrupen övre del
1504 	Matstrupen mellersta dele
1505 	Matstrupen nedre del
1508 	Matstrupen flera delar
1509 	Matstrupen uns
1510 	Övre magmunnen cardia
1511 	Nedre magmunnen pylorus/a
1513 	Fundus ventriculi
1514 	Corpus ventriculi
1518 	Magsäck flera lok
1519 	Annan/icke spec lok magsä
1520 	Tolvfingertarm duodenum
1521 	Tunntarm övre del jejunum
1522 	Tunntarm nedre del ileum
1528 	Tunntarm flera del
1529 	Tunntarm annan/icke spec
1530 	Flexura hepatica
1531 	Transversum
1532 	Descendens
1533 	Sigmoideum
1534 	Caecum
1535 	Appendix
1536 	Ascendens
1537 	Flexura lienalis
1538 	Grovtarm flera del
1539 	Grovtarm icke spec del
1540 	Rectum-sigmoideum
1541 	Rectum
1542 	Anus
1548 	Flera lok samtidigt rectu
1549 	Rectum icke spec del
1550 	Primär tumör i lever
1551 	Intrahepatiska gallvägar
1552 	Lever uns
1560 	Gallblåsa
1561 	Extrahepatiska gallgångar
1562 	Papilla vateri
1568 	Gallgångar multipel
1569 	Gallvägar uns
1570 	Bukspottkörtel caput-del
1571 	Bukspottkörtel mellandel
1572 	Bukspottkörtel svans
1573 	Bukspottkörtelgång
1574 	Langerhanska öarna/insula
1578 	Bukspottkörtel flera lok
1579 	Bukspottkörtel uns
1580 	Retroperitoneala rummet
1588 	Bukhinnan spec del
1589 	Bukhinna icke spec del
1590 	Tarmkanalen icke spec lok
1599 	Digestionskanalen icke sp
1600 	Näshålan/nässkiljevägg
1601 	Örontrumpet
1602 	Överkäkshålan
1603 	Sinus etmoidale
1604 	Sinus frontalis
1605 	Sinus sfenoidalis
