Kod 	Klartext
82632 	Tubulovillöst adenom med grav atypi/cancer in situ
82633 	Adenoca i tubovillöst adenom
82710 	Prolaktinom (C75.1)
82900 	Oxyfilt adenom (onkocytom) C75.0, C75.1)
82901 	Misstänkt onkocytom
82903 	Adenocarcinom, onkocytiskt/oxyfilt (Onkocytom, malignt)
83101 	Misstänkt klarcellscancer
83103 	Carcinom av mesonefroid typ, klarcellig
83121 	Misstänkt hypernefrom
83123 	Hypernefrom/Njurcellscarcinom/Renalcellscarcinom
83131 	Klarcelligt adenofibrom Borderlinetumör
83133 	Adenocarcinofibrom, klarcelligt
83153 	Glykogen-rik Carcinoma
83173 	Renalcellscarcinom, kromofob typ
83183 	Sarkomatoid renalcellsca
82421 	ECL-om (enterokromaffinlik cell carcinoid), UNS
82493 	Atypisk (lung)carcinoid
82700 	Adenom, kromofobt
82703 	Kromofobt carcinom
82132 	Serrated/sågtandat adenocarcinom, in situ
82133 	Serrated/sågtandat adenocarcinom
82533 	Bronkioalveolärt carcinom, mucinöst
829030 	Oxyfilt carcinom, massivt infiltrativ
83193 	Bellinis carcinoma (Carcinom, collecting duct carcinoma)
83210 	Huvudcellsadenom (C75.0)
83301 	Follikulärt adenom atypiskt, misstänkt malign
83303 	Follikulärt( adeno), carcinom UNS
83353 	Follikulärt (adeno)carcinom, minimal-invasivt
83401 	Misstänkt blandat follikulert/papillärt/adenocarcinom
83403 	Follikulär variant av papillärt adenocarcinom
83443 	Papillärt (adeno)carcinom,högcells-varianten (fall cell-typen)
83453 	Medullärt carcinom med amyloidstroma
83463 	Follikulärt carcinom med komponent av medullärt carcinom
83473 	Papillärt carcinom med komponent av medullärt carcinom
83501 	Misstänkt skleroserande (ockult) cancer
83503 	Skleroserande , ockult carcinom (Graham)
83601 	MEA I och II (C75.8)
83700 	Binjurebarksadenom
83701 	Misstänkt binjurebarkscancer
83703 	Binjurebarkscancer (adenocarcinom)
83801 	Endometroitt kystadenom Borderlinetumör
83803 	Endometriott carcinom
83901 	Misstänkt adnexcancer
83902 	Adnexalt carcinom in situ
83903 	Adnexalt carcinom uns
84001 	Svettkörtelderiverad hudtmör UNS
84002 	Svettkörtelcancer i situ
84003 	Svettkörtelcarcinom UNS
84011 	Misstänkt apokrint adenocarcinom
84013 	Apokrint adenocarcinom
84073 	Mikrocystiskt svettkörtelcarcinom
84092 	Porocarcinom in situ
84093 	Malignt eccrint porom
84101 	Misstänkt talgkörtelcancer
84102 	Talgkörteldivierad ca in situ
84103 	Sebaceöst carcinom
84133 	Ekrint adenocarcinom UNS
84203 	Cerumenioitt adenocarcinom (C44.2)
84301 	Mukoepidermoid tumör
84303 	Mukoepidermoid cancer C 33 - 34 ICD7=162
84401 	Misstänkt kystadenocarcinom
84403 	Kystadenocarcinom, UNS
84410 	Seröst kystom, UNS
84413 	Seröst Kystadenocarcinom
84421 	Seröst kystadenom (kystom) Borderlinetumör
84441 	Klarcellig papillär/cystisk Borderlinetumör
84461 	Serös papillär/cystisk Borderlinetumör
84501 	Misstänkt kystadenopapillär cancer/Acinic cell tumör oklar benignitet
84503 	Papillärt Kystadenocarcinom
84532 	Intraduktal papillär mucinöst carcinom, icke-invasivt
84533 	Intraduktal papillär mucinöst carcinom, invasivt
84601 	Misstänkt seropapillär cancer
84603 	Seropapillärt carcinom
84613 	Seröst papillärt carcinom (C48.1)
84621 	Serös papillär borderline tumör
