Kod	"Sjukhus"
501021	"D:läk mott d:21"
501022	"D:läk mott d:22"
501023	"D:läk mott d:23"
501024	"Bergsjön VC"
501025	"Hjällbo VC"
501026	"D:läk mott d:26"
501029	"Tynnered VC"
501030	"Backa VC"
501031	"Askim VC"
501032	"D:läk mott d:13"
501033	"Björkekärr VC"
501034	"Änggården VC"
501035	"Sociala Huset VC"
501036	"Angered VC"
501037	"Styrsö VC"
501038	"Lövgärdet VC"
501039	"Ekmanska VC"
501040	"Biskopsgården VC"
501041	"Kärra VC"
501042	"Gibraltargatan VC"
501043	"Svalebo VC"
501044	"Länsmansgården VC"
501045	"Brämaregården VC"
501046	"Husläkaren Frölunda"
501047	"Masthugget VC"
501048	"Torslanda VC"
501049	"Olskroken VC"
501050	"Kortedala VC"
501051	"Kyrkbyn VC"
501052	"Tuve VC"
501053	"Kannebäck VC"
501054	"Lunden VC"
50198	"Icke priv läk mott Gbg kommun"
50199	"Privat läk mott Gbg kommun"
50303	"Bräcke Diakonigård"
50305	"Göteborgs sjukhem"
50306	"Högsbo sjukhus"
50315	"Ålderdomshemmet"
50316	"Strömmensbergs sjukhem"
50317	"Lövgärdets sjukhem"
50410	"Vasa sjukhus"
50480	"Carlanderska"
50481	"Kb Gothenburg medical center"
50482	"Scandinavian Heart Center AB"
50483	"Specialistkliniken"
50501	"Lillhagens sjukhus"
50800	"Sävsjö sjukhus"
50996	"Statens Rättsläkare i Gbg"
51010	"NU-sjukv. Uddevalla sjukhus"
51011	"Sahlg. Univers.sjh. - Mölndals sjukhus"
51012	"Kungälvs sjukhus"
51031	"NU-sjukv. Lysekils sjukhus"
51032	"NU-sjukv. Strömstads sjukhus"
51100	"Svenshögens sjukhus"
511001	"Dingle VC"
511003	"Kungshamns VC"
511005	"Kungälvs VC"
511006	"Lysekils sjukhus VC"
511007	"Brastads VC"
511008	"Munkedals VC"
511009	"Mölndal VC"
511010	"Mölnlycke VC"
511011	"Partille VC"
511012	"Stenungsunds VC"
511013	"Läkarhuset Orust (Henåns VC)"
511014	"Tjörns VC"
511015	"Strömstads VC"
511017	"Tanumshede VC"
511018	"Fiskebäckskil distriktsläkarmott"
511019	"Ljungskile VC"
511020	"Läkarmott Uddevalla"
511022	"Öckerö VC"
511027	"Ellös VC"
511028	"Dalabergs VC"
511029	"Hunnebostrands VC"
511030	"Dagsons VC"
511031	"Uddevalla läkarmott"
511032	"Lindome VC"
511033	"Marstrands VC"
511034	"Kärna VC"
511035	"Hedekas VC"
511036	"Fjällbacka VC"
511037	"Herrestads VC"
511038	"Sävedalens VC"
511039	"Krokslätts VC"
511040	"Rosenhälls VC"
511041	"Åby VC"
511042	"Landvetter VC"
51198	"Icke priv läk mott Bohuslän"
51199	"Privat läk mott Bohuslän"
51300	"Furulundscentrum"
51301	"Kappellegården"
51308	"Äsperödshemmet"
51309	"Älvkullen"
51310	"Furugården, sjukhemmet"
51311	"Treklöverhemmet"
51312	"Kungshamns sjukhem"
51313	"Munkedals sjukhem"
51314	"Björkhagen"
51315	"Lilldalshemmet"
51316	"Fässbergshemmet"
51317	"Rosenhäll sjukhem"
51318	"Ängsviken"
51319	"Solhöjden"
51320	"Ytterbyhemmet"
51321	"Ekdalagården"
51322	"Svenshögens sjukhus"
51323	"Hunnebohemmet"
51324	"Lysekils sjh sjukhemsavd"
51325	"Strömstad äldrevård och rehabilitering"
51326	"Boendekollektivet Myran"
51480	"Clinic 88"
51500	"S:t Jörgens sjukhus"
51600	"Fontinhemmet"
51601	"Dyne sjukhem"
51602	"Kamstorps gästhem"
51604	"Saltkällans sjukhem"
51606	"AB Backängens sjukhem"
51607	"Österängen"
51608	"Sotenäs sjukhem"
51610	"Talluddens gästhem"
51611	"Kastanjegården"
51612	"Skogsgläntans vårdhem AB"
51615	"Gästhemmet Bullarsjön"
51616	"Heljerödshemmet"
51800	"Hällsnäs sjuk och konv hem"
51802	"Tjöstelsröds konvalescenthem"
51804	"Katarinahemmet"
51805	"Casparssons sjuk och vilohem AB"
51806	"Franciskusgården"
51996	"Statens rättsläkare, Bohuslän"
52011	"SÄS Borås"
52012	"Alingsås lasarett"
52013	"SÄS Skene"
52014	"Dalslands sjh Bäckefors"
52016	"V-borg-Trollh/Vänerpark VC"
52017	"NU-sjukvården, NÄL"
52051	"Ulricehamns sjukstuga"
521001	"Sörhaga VC"
521002	"Sollebrunn VC"
521004	"VC Edsgärdet i Ed"
521005	"Dals Långed VC"
521006	"Heimdal VC"
521007	"Bollebygd VC"
521009	"Viskafors VC"
52101	"Sjö-Gunnarsbo sjukhus"
521010	"Färgelanda VC"
521011	"Herrljunga VC"
521012	"Kinna VC"
521013	"Fritsla VC"
521014	"Horred VC"
521015	"Sätila VC"
521016	"Lerum VC"
521017	"Gråbo VC"
521018	"Lilla Edet VC"
521020	"Bohus VC"
521021	"Älvängen VC"
521022	"Svenljunga VC"
521023	"Tranemo VC"
521025	"Hjorten VC"
521026	"Ulricehamn VC"
521027	"Vårgårda VC"
521029	"Vargön VC"
521030	"Brålanda VC"
521031	"Åmål läkarstation"
521034	"Ekbacken VC"
521037	"Alingsås läkarstation"
521039	"Borås läkarstation"
521040	"Sjöbo VC"
521043	"Dalsjöfors VC"
521044	"Ulricehamn läkarstation"
521046	"Ulricehamn läkarstation"
521047	"Trollhättan läkarstation"
521048	"Maria Alberts VC"
521049	"Granngården VC"
521050	"Nygård VC"
521051	"Mellerud VC"
521052	"Torpa VC"
521053	"Floda VC"
521054	"Lerum Barn mott"
521055	"Södra Torget VC"
521057	"Noltorp VC"
521058	"Fristad VC"
521059	"Stavre VC"
521060	"Skene VC"
521061	"Boda/Hässleholmen VC"
521062	"Myrten VC"
521063	"Skepplanda VC"
521064	"Nödinge VC"
521065	"Dalum VC"
521066	"Trandareds VC"
521067	"Sandared VC"
521068	"Ängabovården"
521069	"Åmålsgården VC"
521070	"Dalslands sjukhus DLM"
521071	"Frändefors VC"
521072	"Sjuntorp VC"
521073	"Källstorp VC"
521074	"Vårdcentralen"
52198	"Icke priv läk mott Älvsborgs län"
52199	"Privat läk mott Älvsborgs län"
52300	"Björkåsens sjukhem"
52301	"Bergs sjukhem"
52308	"Ballebo sjukhem"
52309	"Göta sjukhem"
52310	"Viskadalens sjukhem"
52312	"Kindbo sjukhem"
52320	"Ekbackens sjukhem"
52321	"Tuvängens sjukhem"
52323	"Svenjunga sjukhem"
52325	"Hesters sjukhem"
52326	"Centrala sjukhemmet"
52327	"Solhems sjukhem"
52328	"Älvängens sjukhem"
52329	"Färgelanda sjukhem"
52330	"Hestra sjukhem"
52331	"Hulta sjukhem"
52332	"Hagens sjukhem"
52333	"Sjö-Gunnarsbo sjukhem"
52334	"Dalsjöfors sjukhem"
52335	"Lilla Edets sjukhem"
52336	"Kinnaborgshem"
52337	"Vårgårda sjukhem"
52338	"Ängens sjukhem"
52339	"Maria Alberts sjukhem"
52340	"Edsgärdets sjukhem"
52341	"Korsebergs sjukhem"
52342	"Brålanda sjukhem"
52343	"Hjortmossens sjukhem"
52344	"Ängabo sjukhem"
52345	"Noltorps sjukhem"
52346	"Fessingsgatans gruppbostad"
52347	"Solgårds sjukhem"
52348	"Humlans bostadssjukhem"
52349	"Kastanjebacken"
52350	"Bodaklint gruppbostad"
52352	"Krukmakaregården"
52353	"Sjukhemmet Alingsås"
52354	"Tallbackens sjukhem"
52355	"Ekens sjukhem"
52356	"Björkens sjukhem"
52357	"Gläntans sjukhem"
52358	"Sagahöjd gruppbostad"
52359	"Mimer gruppbostad"
52360	"Våglängdsgatan Borås"
52361	"Gruppbostad Borås"
52362	"Gruppbostad Borås"
52363	"Gruppbostad Borås"
52364	"Gruppbostaden Mårtensdal"
52365	"Gruppbostaden Hagabacken"
52600	"Torpagårdens sjukhem"
52601	"Hagens sjukhem"
52602	"Katrinebergs sjukhem"
52603	"Brosäters sjukhem"
52604	"Eskekärrs sjukhem"
52607	"Högsäters sjukhem"
52609	"Björkebäcks sjukhem AB"
52611	"Istorps sjukhem"
52612	"Svedernas enskilda sjukhem"
52613	"Sunnanå sjukhem"
52614	"Ab Mjörnviksholms sjukhem"
52615	"Mellbygårds sjukhem ab"
52616	"Torsbohemmet"
52617	"Örby enskilda sjukhem"
52618	"Sjukhemmet Brättinge AB"
52620	"Björkängens sjukhem"
52621	"Tunnlandsgatan Borås"
52622	"Våglängdsgatan Borås"
52624	"Brinkens sjukhem"
52801	"Skogsgårdens sjukhem"
52802	"Ingseredshemmet"
52803	"Norsesundshemmet"
52805	"Ulricehamns kurhotell"
52807	"Arelidhemmet"
52810	"Mogården ab"
52980	"Hultafors hälsocenter"
52996	"Statens rättsläkare, Älvsborg"
53010	"SkaS/Falköping"
53011	"SkaS/Lidköping"
53012	"SkaS/Mariestad"
53013	"SkaS/Skövde"
531001	"Falköping/Oden VC"
531002	"Floby läkar mott"
531003	"Grästorp VC"
531004	"Gullspång VC"
531005	"Hova VC"
531006	"Götene VC"
531007	"Habo VC"
531008	"Mullsjö VC"
531009	"Hjo VC"
531010	"Karlsborg VC"
531011	"Lidköping VC"
531012	"VC Linden fd Mariestads VC"
531013	"Skara VC"
531014	"Östermalm VC, Skövde"
531015	"Tidan VC"
531016	"Tibro VC"
531017	"Tändstickan VC, Tidaholm"
531018	"Töreboda VC"
531019	"Vara VC"
531020	"Kvänum läkarstation"
531021	"Nossebro VC"
531022	"Vedum läkar mott"
531023	"Stenstorp VC"
531024	"Skultorp VC"
531025	"Norrmalm VC, Skövde"
531026	"Stöpen VC, Skövde"
531027	"Södra Ryd VC, Skövde"
531028	"Ågårdsskogen VC, Lidköping"
531029	"Floby VC"
531030	"OBS! HAR UPPHÖRT"
531031	"Mösseberg VC"
531032	"Billingen VC, Skövde"
531033	"Hentorp VC, Skövde"
531034	"Guldvingen VC, Lidköping"
531035	"Centrum VC, Falköping"
53198	"Icke priv läk mott Skaraborgs län"
53199	"Privat läk mott Skaraborgs län"
53300	"Solkullen, Tidaholm"
53301	"Sjukhemmet Björkgården"
53302	"Odengården"
53310	"Sjukhuset Skara"
53311	"Sjukhemmet Östermalm"
53312	"Sjukhemmet"
53313	"Sjukhemmet"
53314	"Habo sjukhem"
53315	"Sjukhemmet allegården"
53316	"Haganäsets sjukhem"
53317	"Stora Ekebergs sjukhus"
53319	"Björkhaga sjukhem"
53320	"Sjukhemmet grästorp"
53321	"Amnegårdens sjukhem"
53322	"Björkängens sjukhem"
53323	"Sjukhemmet"
53324	"Broholmsgårdens sjukhem"
53325	"Mariestads sjukhus"
53326	"Götene sjukhem"
53327	"Sjukhemmet lundagården"
53328	"Sjukhemmet hällesäter"
53329	"Ågårdsskogens sjukhem"
53330	"Vårdcentralen floby"
53331	"Solvik"
53332	"Sjukhemmet Timmersdala"
53333	"Sjukhemmet Tidan"
53334	"Sjukhemmet Norrmalm"
53335	"Tornumsgården"
53336	"Vårdcentralen Stenstorp"
53337	"Kvarngårdens sjukhem"
53338	"Sjukhemmet Hentorp"
53339	"Södra Ryd"
53340	"Lägenhetsboende"
53341	"Lägenhetsboende"
53342	"Ullervads sjukhem"
53343	"Österbo"
53344	"Guldvingens sjukhem"
53345	"Lägenhetsboende"
53346	"Solgläntan"
53347	"Lägenhetsboende"
53348	"Sjukhemmet malmgården"
534025	"Vårdcentralen norrmalm"
53600	"Aspö sjukhem"
53601	"Sjöryds sjukhus"
53602	"Anneborgs sjukhem"
53603	"Fredriksborgs sjukhem"
53604	"Haddeboda sjukhem"
53607	"Hassle sjukhem"
53609	"Skämningsfors gästhem ab"
53610	"Brunnsbo gästhem ab"
53800	"Lindgårdens konv och sjukhem ab"
53801	"Rånna konv hem"
53802	"Gösslundahemmet"
53803	"Mössebergs kurort"
53804	"Lundsbrunns konvalescenthem"
53982	"Skaraborgs läns sjukhem"
53996	"Statens rättsläkare, Skaraborg"
54010	"Centralsjh, Karlstad"
54011	"Kristinehamn sjukhus"
54012	"Arvika sjukhus"
54013	"Säffle sjukhus"
54014	"Torsby sjukhus"
541014	"Molkom VC"
541024	"Säffle VC"
541025	"Torsby Vårdcentral"
541026	"Torsby Vårdcentral"
541028	"Årjäng läkarmott"
55010	"Regionsjukhuset i Örebro"
55011	"Karlskoga lasarett"
55012	"Lindesbergs lasarett"
551018	"Skebäcks vårdcentral, örebro"
56010	"Västerås lasarett"
541032	"Mathilda VC - Kristinehamn"
541034	"Vårdcentralen Hermes"
55199	"Priv läkare Örebro län"
54199	"Priv läk Värmland"
54198	"Icke priv läk Värmland"
56011	"Sala lasarett"
56012	"Köpings lasarett"
56013	"Fagersta lasarett"
57010	"Falu lasarett"
57011	"Mora lasarett"
57012	"Ludvika lasarett"
