Kod 	Klartext
0 	0
I 	I
IA 	IA
IA1 	IA1
IA2 	IA2
IB 	IB
IB1 	IB1
IB2 	IB2
IC 	IC
II 	II
IIA 	IIA
IIB 	IIB
IIC 	IIC
III 	III
IIIA 	IIIA
IIIB 	IIIB
IIIC 	IIIC
IV 	IV
IVA 	IVA
IVB 	IVB
