Kod 	Klartext
C579 	kvinn könsorgan uns
C589 	placenta
C600 	preputiet
C601 	glans penis
C602 	peniskroppen
C608 	penis mult lok
C609 	penis uns
C619 	prostata
C620 	icke nedst testikel
C621 	nedstigen testikel
C629 	testikel uns
C630 	bitestikel
C631 	sädesledare
C632 	skrotum mel,övr,uns
C637 	a spec manl könsorgan
C638 	manliga könsorg mult lok
C639 	manliga könsorg uns
C640 	njure parenkym
C649 	njure uns
C659 	njurbäcken
C669 	uretär
C670 	urinblåsa trigonum
C671 	urinblåsa blåstak
C672 	urinblåsa sidovägg
C673 	urinblåsa framvägg
C674 	urinblåsa bakvägg
C675 	urinblåsa blåshals
C676 	urinblåsa uretäröppning
C677 	urinblåsa urachusgång
C678 	urinblåsa mult lok
C679 	urinblåsa uns
C680 	urinorgan uretra
C681 	urinorgan parauretr kört
C682 	urinorgan a spec lok
C688 	mult i urinorg o blåsa
C689 	urinorgan uns
C690 	öga konjunktiva
C691 	öga kornea
C692 	öga retina
C693 	öga korioidea
C694 	öga ciliarkropp, glob
C695 	öga tårkanal o tårsäck
C696 	ögonhåla
C698 	öga mult lok
C699 	öga uns
C700 	hjärnhinnor
C701 	ryggmärgshinnor
C709 	hjärn-ryggmärgshinna uns
C710 	hypothalamus
C711 	frontallob
C712 	temporallob
C713 	parietallob
C714 	occipitallob
C715 	hjärnventriklar
C716 	cerebellum
C717 	hjärnstammen
C718 	mult i hjärnan
C719 	hjärnan uns
C720 	medulla spinalis
C721 	cauda equina
C722 	nervus olfaktorius
C723 	nervus opticus
C724 	nervus acusticus
C725 	a o ospec hjärnnerver
C728 	ryggm hjärnnerv mult lok
C729 	centr nervsystemet uns
C739 	thyreoidea
C740 	binjure cortex
C741 	binjure medulla
C749 	binjure uns
C750 	parathyreoidea
C751 	hypofys
C752 	ductus craniopharyngeal
C753 	tallkottkörteln
C754 	glomus caroticum
C755 	paraganglier
C758 	mult lok endokrin körtel
C759 	endokrin körtel uns
C760 	ospec huvud ans hals uns
C761 	icke spec lok bröstkorg
C762 	icke spec lok i buk
C763 	ospec lilla bäckenet uns
C764 	ospec lok övre extr
C765 	ospec lok nedre extr
C767 	annan ospec lok
C770 	lgll sek huvud ans hals
C771 	lgll sek intratorakalt
C772 	lgll sek intraabdominell
C773 	lgll sek axill ö extr
C774 	lgll sek ljumske n extr
C775 	lgll sek bäcken
C778 	mult lok i lgll
C779 	lymfkörtlar uns
C780 	metastas i lunga
C781 	met i mediastinum
C782 	met i lungsäck
C783 	met andra respirationsor
C784 	met tunntarm
C785 	met tjock-ändtarm
C786 	met bukhinna
C787 	met lever
C788 	met spec lok matsmältnin
C790 	met njure njurbäcken
C791 	met urinblåsa mm
C792 	met hud
C793 	met hjärna hjärnhinnor
C794 	met ospec lok nervsyst
C795 	met ben o benmärg
C796 	met i ovarium
C797 	met binjure
C798 	met andra spec lok
C809 	ospec lok, mult lok uns
C810 	hodgkins sjukdom
C811 	hodgkins sjukdom
C812 	hodgkins sjukdom
C813 	hodgkins sjukdom
C817 	hodgkins sjukdom
C819 	hodgkins sjukdom
