Kod 	Klartext
83101 	"Misstänkt klarcellscancer"
83103 	"Klarcellig cancer"
83121 	"Misstänkt hypernefrom"
83123 	"Hypernefrom"
83210 	"Huvudcellsadenom"
83301 	"Misstänkt follikulär cancer UNS"
83303 	"Follikulär cancer UNS"
83401 	"Misstänkt blandat follikulärt/ papillärt/ adenocarcinom"
83403 	"Blandat follikulärt/ papillärt/ adenocarcinom"
83501 	"Misstänkt skleroserande (ockult) cancer Graham"
83131 	"Klarcelligt adenofibrom Borderlinetumör"
83133 	"Adenocarcinofibrom, klarcelligt"
83173 	"Renalcellscarcinom, kromofob typ"
83503 	"Skleroserande (ockult) cancer Graham"
83700 	"Binjurebarksadenom"
83701 	"Misstänkt binjurebarkscancer"
83703 	"Binjurebarkscancer"
83801 	"Misstänkt endometrioid cancer"
83803 	"Endometrioid cancer"
83901 	"Misstänkt adnexcancer"
83902 	"Adnexcancer in situ"
83903 	"Adnexcancer"
84001 	"Svettkörtelcancer in situ"
84002 	"Svettkörtelcancer in situ"
84003 	"Svettkörtelderiverad hudcancer"
84011 	"Misstänkt apokrint adenocarcinom"
84012 	"Apokrin ca in situ"
84013 	"Apokrint adenocarcinom"
84101 	"Talgkörtelcancer in situ"
83601 	"MEA I och II (C75.8)"
84073 	"Mikrocystiskt svettkörtelcarcinom"
84102 	"Talgkörtelcancer in situ"
84103 	"Talgkörtelcancer"
84301 	"Misstänkt mukoepidermoid cancer"
84303 	"Mukoepidermoid cancer"
84401 	"Misstänkt kystadenocarcinom"
84403 	"Kystadenocarcinom"
84410 	"Seröst kystom"
84413 	"Kystadenocarcinom, seröst"
84423 	"Seröst kystadenom (kystom) borderline-typ (2A)"
84501 	"Misstänkt kystadenopapillär cancer"
84503 	"Kystadenopapillär cancer"
84513 	"Papillärt kystadenom borderline"
84601 	"misstänkt seropapillär cancer"
84603 	"Seropapillär cancer"
84621 	"Misstänkt borderline-tumörer (ospec om serösa eller mucinösa)"
84623 	"Borderline-tumörer (ospec om serösa eller mucinösa)"
84613 	"Seropap adenoca peritoneum"
84133 	"Ekrint adenocarcinom UNS"
84203 	"Cerumenioitt adenocarcinom (C44.2)"
84421 	"Serös papillär/cystisk Borderlinetumör"
84441 	"Klarcellig papillär/cystisk Borderlinetumör"
84532 	"Intraduktal papillär mucinöst carcinom, icke invasivt"
84533 	"Intraduktal papillär mucinöst carcinom, invasivt"
84700 	"Mucinöst kystadenom"
84703 	"Kystadenocarcinom, mucinöst"
