Kod 	Klartext
022404 	Färentuna
022501 	Munsö
022502 	Adelsö
022503 	Ekerö
022504 	Lovö
022600 	Trångsund
022601 	Trångsund
022700 	Tumba
022701 	Tumba
022800 	Salem
022801 	Salem
022900 	Grödinge
022901 	Grödinge
023001 	Östertälje
023002 	Tveta
023100 	Turinge
023101 	Turinge
023201 	Vårdinge
023202 	Överjärna
023203 	Ytterjärna
023300 	Sorunda
023301 	Sorunda
023401 	Torö
023402 	Ösmo
023501 	Västerhaninge
023502 	Muskö
023601 	Österhaninge
023603 	Utö
023604 	Ornö
023605 	Dalarö
023800 	Tyresö
023801 	Tyresö
026000 	Täby
026001 	Täby
026100 	Danderyd
026200 	Danderyd
026201 	Danderyd
026300 	Sollentuna
026301 	Sollentuna
026400 	Saltsjöbaden
026401 	Saltsjöbaden
028000 	Nynäshamn
028001 	Nynäshamn
028100 	Västertälje
028101 	Västertälje
028102 	Östertälje
028103 	Tveta
028104 	Enhörna
028200 	Nacka
028201 	Nacka
028300 	Sundbyberg
028301 	Sundbyberg
028400 	Råsunda
028401 	Solna
028402 	Råsunda
028500 	Danderyd
028501 	Danderyd
028600 	Lidingö
028601 	Lidingö
028700 	Vaxholm
028701 	Vaxholm
028800 	Norrtälje
028801 	Norrtälje
028901 	Östhammar
028902 	Forsmark
028903 	Valö
028904 	Börstil
028905 	Hökhuvud
028906 	Harg
028907 	Öregrund
028908 	Gräsö
029001 	Öregrund
029002 	Gräsö
029101 	Sigtuna
029102 	Sankt olof
029103 	Sankt per
029104 	Haga
030101 	Enköpings-näs
030102 	Teda
030103 	Svinnegarn
030104 	Tillinge
030105 	Bred
030106 	Sparrsätra
030107 	Enköping
030201 	Boglösa
030202 	Lillkyrka
030203 	Vallby
030204 	Kungs-husby
030205 	Torsvi
030206 	Veckholm
030301 	Hacksta
030302 	Löt
030303 	Villberga
030304 	Husby-sjutolft
030305 	Litslena
030306 	Härkeberga
030401 	Bro
030402 	Låssa
030403 	Kungsängen
030404 	Västra ryd
030405 	Håbo-tibble
030406 	Håtuna
030501 	Kalmar
030502 	Yttergran
030503 	Övergran
030504 	Häggeby
030505 	Skokloster
030601 	Holm
030602 	Fittja
030603 	Kulla
030604 	Hjälsta
030605 	Giresta
030606 	Fröslunda
030607 	Biskopskulla
030608 	Långtora
030609 	Nysätra
030610 	Gryta
030701 	Hagby
030702 	Ramsta
030703 	Balingsta
030704 	Västeråker
030705 	Dalby
030706 	Uppsala-näs
030801 	Läby
030802 	Vänge
030803 	Åland
030804 	Skogs-tibble
030805 	Järlåsa
030901 	Jumkil
030902 	Börje
030903 	Åkerby
030904 	Bälinge
030905 	Skuttunge
031001 	Vaksala
031002 	Danmark
031003 	Funbo
031101 	Rasbo
031102 	Rasbokil
031201 	Stavby
031202 	Tuna
031203 	Alunda
031204 	Ekeby
031205 	Skäfthammar
031206 	Rasbo
031207 	Rasbokil
031301 	Morkarla
031302 	Film
031303 	Dannemora
031401 	Tensta
031402 	Lena
031403 	Ärentuna
031501 	Björklinge
031502 	Viksta
031601 	Vendel
031602 	Tegelsmora
031700 	Tierp
031701 	Tierp
031800 	Söderfors
031801 	Söderfors
031901 	Älvkarleby
031902 	Skutskär
032000 	Västland
032001 	Västland
032100 	Österlövsta
032101 	Österlövsta
032200 	Hållnäs
032201 	Hållnäs
036000 	Tolfta
036001 	Tolfta
036002 	Tolfta
036003 	Vendel
036004 	Tegelsmora
036005 	Tierp
036006 	Söderfors
036007 	Västland
036008 	Österlövsta
036009 	Hållnäs
038001 	Uppsala domkyrkoförs.
038002 	Gottsunda
038003 	Gamla uppsala
038004 	Vaksala
038005 	Danmark
038006 	Funbo
038007 	Hagby
038008 	Ramsta
038009 	Balingsta
038010 	Västeråker
038011 	Dalby
038012 	Uppsala-näs
038013 	Läby
038014 	Vänge
038015 	Åland
038016 	Skogs-tibble
038017 	Järlåsa
038018 	Jumkil
038019 	Börje
038020 	Åkerby
038021 	Bälinge
038022 	Skuttunge
038023 	Tensta
038024 	Lena
038025 	Ärentuna
038026 	Björklinge
038027 	Viksta
038028 	Knutby
038029 	Bladåker
038030 	Faringe
038031 	Almunge
038032 	Lagga
038033 	Alsike
038034 	Vassunda
038035 	Knivsta
038036 	Östuna
038037 	Husby-långhundra
038038 	Gottsunda
038039 	Stavby
038040 	Tuna
038041 	Rasbo
038042 	Rasbokil
038100 	Enköping
038101 	Enköping
038102 	Enköpings-näs
038103 	Teda
038104 	Svinnegarn
038105 	Tillinge
038106 	Bred
038107 	Sparrsätra
038108 	Enköping
038109 	Boglösa
038110 	Lillkyrka
038111 	Vallby
038112 	Kungs-husby
038113 	Torsvi
038114 	Veckholm
038115 	Hacksta
038116 	Löt
038117 	Villberga
038118 	Husby-sjutolft
038119 	Litslena
038120 	Härkeberga
038121 	Holm
038122 	Fittja
038123 	Kulla
038124 	Hjälsta
038125 	Giresta
038126 	Fröslunda
038127 	Biskopskulla
038128 	Långtora
038129 	Nysätra
038130 	Gryta
038131 	Simtuna
038132 	Frösthult
038133 	Härnevi
038134 	Torstuna
038135 	Österunda
038136 	Altuna
038201 	Östhammar
038202 	Forsmark
038203 	Valö
038204 	Börstil
038205 	Hökhuvud
038206 	Harg
038207 	Öregrund
038208 	Gräsö
038209 	Alunda
038210 	Ekeby
038211 	Skäfthammar
038212 	Morkarla
038213 	Film
038214 	Dannemora
040100 	Tunaberg
040101 	Tunaberg
040201 	Bergshammar
040202 	Tuna
040203 	Lunda
040204 	Kila
040300 	Björkvik
040301 	Björkvik
040401 	Stigtomta
040402 	Halla
040403 	Nykyrka
040404 	Bärbo
040501 	Råby-rönö
040502 	Lid
040503 	Ripsa
040504 	Ludgo
040505 	Spelvik
040506 	Runtuna
040601 	Helgona
040602 	Svärta
040701 	Tystberga
040702 	Lästringe
040703 	Lästringe
040704 	Lästringe
040705 	Bälinge
040706 	Lästringe
040801 	Västerljung
040802 	Trosa-vagnhärad
040901 	Hölö
040902 	Mörkö
041101 	Gåsinge-dillnäs
041102 	Björnlunda
041103 	Gryt
041201 	Länna
041202 	Åker
041300 	Enhörna
041401 	Toresund
041402 	Ytterselö
041403 	Överselö
041501 	Aspö
041502 	Strängnäs domkyrkoförs
041601 	Vansö
041602 	Fogdö
041603 	Helgarö
041604 	Härad
041701 	Barva
041702 	Jäder
041703 	Kjula
041704 	Hammarby
041705 	Sundby
041706 	Vallby
041801 	Hällby
041802 	Tumbo
041803 	Råby-rekarne
041901 	Gillberga
041902 	Lista
041903 	Öja
041904 	Västermo
042001 	Näshulta
042002 	Husby-rekarne
042101 	Stenkvista
042102 	Ärla
042200 	Mellösa
042201 	Mellösa
042301 	Hyltinge
042302 	Helgesta
042303 	Årdala
042401 	Husby-oppunda
042402 	Vrena
042403 	Bettna
042404 	Blacksta
042405 	Forssa
042406 	Vadsbro
042501 	Lerbo
042502 	Sköldinge
042600 	Floda
042601 	Floda
042701 	Stora malm
042702 	Östra vingåker
042800 	Västra vingåker
042801 	Västra vingåker
042802 	Österåker
042901 	Österåker
042902 	Julita
046001 	Lilla malma
046002 	Dunker
046100 	Frustuna-kattnäs
046101 	Frustuna-kattnäs
048001 	Sankt nicolai
048002 	Nyköpings östra
048003 	Helgona
048004 	Svärta
048005 	Tunaberg
048006 	Bergshammar
048007 	Tuna
048008 	Lunda
048009 	Kila
048010 	Stigtomta
048011 	Halla
048012 	Nykyrka
048013 	Bärbo
048014 	Råby-rönö
048015 	Lid
048016 	Ripsa
048017 	Ludgo
048018 	Spelvik
048019 	Runtuna
048020 	Tystberga
048021 	Lästringe
048022 	Lästringe
048023 	Lästringe
048024 	Bälinge
048025 	Lästringe
048026 	Husby-oppunda
048027 	Vrena
048028 	Trosa
048029 	Frustuna-kattnäs
048030 	Västerljung
048031 	Trosa-vagnhärad
048032 	Gåsinge-dillnäs
048033 	Björnlunda
048034 	Gryt
048100 	Oxelösund
048101 	Oxelösund
048200 	Flen
048201 	Flen
048202 	Hyltinge
048203 	Helgesta
048204 	Årdala
048205 	Lilla malma
048206 	Dunker
048207 	Mellösa
048208 	Bettna
